matrix size,GFLOPS/s,parallel_GFLOP/s
50,0.582150,0.598616
100,0.581319,0.583836
150,0.584129,0.584495
200,0.583367,0.584357
250,0.585851,0.585632
300,0.584857,0.585047
350,0.584290,0.584477
400,0.584202,0.583509
450,0.582899,0.582085
500,0.583464,0.583978
