,1,2,4,8,16,32,64,128
1,0.000009,0.000009,0.000009,0.000012,0.000015,0.000188,0.008295,0.000670
2,0.000011,0.000014,0.000042,0.000149,0.002164,0.008330,0.022051,0.000803
4,0.000017,0.000018,0.000048,0.000139,0.005808,0.012885,0.033064,0.000947
8,0.000021,0.000121,0.000162,0.001611,0.009921,0.037817,0.064974,0.002072
16,0.000021,0.000121,0.000162,0.001611,0.009921,0.037817,0.064974,0.002072
32,0.000021,0.000121,0.000162,0.001611,0.009921,0.037817,0.064974,0.002072
64,0.000021,0.000121,0.000162,0.001611,0.009921,0.037817,0.064974,0.002072
